화면 인덱스|텍스트|배경 이미지|캐릭터 이미지|사운드 파일명|효과음 파일명|1번 선택지|1번 선택 시 이동 씬|2번 선택지|2번 선택 시 이동 씬|연출 효과 요청
1|"나는 김기자다. 올해 26살이지. 
어제까지만 해도 방송국 기자로 일하면서 각종 특종을 취재하러 다녔지만..."|SCENE_STORY_PROLOGUE1.jpg||BGM_STORY_INTRO.mp3|||2|||
2|"기레기라는 소리를 들어가며 사람들의 치부를 드러내는 일에 지쳐 방송국을 그만두고 
어렸을 때부터 꿈이었던 나만의 소설을 쓰기 위해, 한적한 마을로 이사하기로 마음먹었다."|SCENE_STORY_PROLOGUE1.jpg||BGM_STORY_INTRO.mp3|||3|||
3|"여러 마을을 찾아봤지만 마음에 드는 곳을 찾을 수 없었고 오랜 검색 끝에 '하리코아' 마을을 찾을 수 있었다. 
하리코아는 뉴질랜드 사투리로 행복이라는 뜻이었다."|SCENE_STORY_PROLOGUE1.jpg||BGM_STORY_INTRO.mp3|||4|||
4|"한적하고 도시와 왕래가 거의 없는 듯한 이 마을은 내가 생각했던 마을과 완벽히 일치했기 때문에 
나는 그 마을로 이사가기로 마음먹었다."|SCENE_STORY_PROLOGUE2.jpg||BGM_STORY_INTRO.mp3|||5|||
5|"드디어 이사 당일! 기쁜 마음으로 나는 비행기에 올랐다. 
어서 가서 자연을 느끼며 힐링도 하고 소설도 써야지!"|SCENE_STORY_PROLOGUE3.jpg||BGM_STORY_INTRO.mp3|EFFECT_SOUND_AIRPLANE.wav||6|||G
6|"비행기를 타고... 택시를 타고 나는 하리코아 마을로 향했다.
드디어 도착인가?! 하리코아 마을!! 오는데 너무 멀어서 좀 피곤하지만..."|SCENE_STORY_TOWN(INTRO).jpg||BGM_STORY_INTRO.mp3|||7|||
7|"그래도 도착이다!!! 이 산뜻한 바람! 맑은 공기!! 평화로... 음... 느낌이 좀 음산하긴 하지만... 
그래도 이 마을에서 이제 소설을 쓰며 내 꿈을 펼쳐 나가는거야!!"|SCENE_STORY_TOWN(INTRO).jpg||BGM_STORY_INTRO.mp3|||8|||
8|"나는 힘찬 발걸음으로 마을 안으로 들어섰고, 마을 안에는 나무로 된 여러 집들과 
큰 자루를 메고 나르는 사람, 밭을 가꾸는 사람, 그리고 이장으로 보이는 노인 한 명과 어린 소녀가 있었다."|SCENE_STORY_TOWN(INTRO).jpg||BGM_STORY_INTRO.mp3|||9|||
9|"아마 저 나이 많은 사람이... 이장님인 것 같으니 인사드리고 내가 살 집이 어디 있는지 물어봐야겠다. 
나는 노인에게 다가가 말을 건넸다. 
안녕하세요!! 혹시 이 마을 이장님이신가요?"|SCENE_STORY_TOWN(INTRO).jpg||BGM_STORY_INTRO.mp3|||10|||
10|"노인: ... 자네는 누군가? 
아! 저는 오늘부로 여기 이사 온 김 기자라고합니다. 이장님인 것 같아서 집 위치를 물을 겸 인사차 왔습니다."|SCENE_STORY_HOUSE(LEE).jpg|CHARACTER_MASTER_LEE.png|BGM_STORY_INTRO.mp3|||11|||
